id,sentence,gemini_label,bert_pred_label,full_test_gemini_vs_bert_kappa,annotator_1,annotator_2,annotator_3,annotator_4
41,they hypothesize that the inaccuracies in gold summaries give rise to inconsistencies in the generated text.,2.1,2.1,0.8565,2.1,2.1,2.0,2.2
42,experiments demonstrate the superiority of our model in a quantitative and qualitative manner.,2.2,2.2,0.8565,2.2,2.2,2.2,2.2
43,"overall, in this work we answer the following research questions.",2.1,2.1,0.8565,2.1,2.1,2.1,2.1
44,the rest of this paper is organised as follows.,2.4,2.4,0.8565,2.3,2.3,2.3,2.3
45,"through our experiments, we discover that leveraging transformer models based on attention mechanism [1]} results in better performance even in low context and ambiguous settings.",2.2,2.2,0.8565,2.2,2.2,2.3,2.2
46,provide a new dataset for both tasks (term recognition and relation extraction) for russian scientific texts and develop a terminator tool for further research experiments.,2.0,2.0,0.8565,2.0,2.0,2.0,2.0
47,"the paper is articulated as follows: in section the most relevant works, in our opinion, that have dealt with the aspects we have outlined in this paper are presented.",2.4,2.4,0.8565,2.3,2.3,2.3,2.2
48,the systematic mapping presented in this paper investigates the following questions: (i) the vehicle and dates of publication of the studies; (ii) the contexts of problems that have been addressed in lstm networks related to time series; (iii) the lstm models that are being used to treat problems in time series; (iv) effectiveness of lstm models in predictions; (v) which are the hyperparameter configurations of the networks; (vi) which air quality characteristics are being used the most; (vii) what other neural network methods are being used in conjunction with the lstm.,2.1,2.1,0.8565,2.1,2.1,2.1,2.2
49,we show consistent improvements over the strong baselines.,2.2,2.2,0.8565,2.2,2.2,2.2,2.2
50,"we provide visibility to the stakeholder groups' roles, needs and activities, many of which often remain invisible to the external world.",2.3,2.3,0.8565,2.3,2.3,2.3,2.3
